,TransactionCount,Recency,AverageAmount,Age,TotalAmount,Cluster
33258,1,139,1000.0,30,1000.0,1
33259,1,136,90.0,30,90.0,2
33260,1,54,60.0,30,60.0,2
33261,1,267,94.0,34,94.0,0
33262,1,54,30.0,23,30.0,2
33263,1,238,900.0,33,900.0,1
33264,1,24,358.0,25,358.0,2
33265,1,130,495.0,31,495.0,1
33266,1,176,300.0,35,300.0,0
33267,1,110,729.0,33,729.0,1
33268,1,129,55.0,27,55.0,2
33269,1,127,50.0,34,50.0,0
33270,1,207,100.0,26,100.0,2
33271,1,133,403.0,25,403.0,2
33272,1,105,540.0,41,540.0,0
33273,1,108,324.0,34,324.0,0
33274,1,105,425.0,38,425.0,0
33275,1,137,100.0,23,100.0,2
33276,1,328,40.0,36,40.0,0
33277,1,207,980.0,28,980.0,1
33278,1,126,10.35,23,10.35,2
33279,1,176,120.0,29,120.0,2
33280,1,101,200.0,30,200.0,2
33281,1,359,300.0,24,300.0,2
33282,1,114,2.0,41,2.0,0
33283,1,72,50.0,28,50.0,2
33284,1,137,499.0,25,499.0,1
33285,1,114,500.0,26,500.0,1
33286,1,85,71.0,35,71.0,0
33287,1,206,180.0,25,180.0,2
33288,1,114,857.0,27,857.0,1
33289,1,53,220.0,27,220.0,2
33290,1,140,326.0,26,326.0,2
33291,1,129,505.0,27,505.0,1
33292,1,101,275.0,29,275.0,2
33293,1,134,321.0,36,321.0,0
33294,1,133,955.0,31,955.0,1
33295,1,110,100.0,30,100.0,2
33296,1,105,700.0,27,700.0,1
33297,1,140,659.6,23,659.6,1
33298,1,53,53.0,27,53.0,2
33299,1,141,899.0,23,899.0,1
33300,1,24,343.0,26,343.0,2
33301,1,97,694.0,26,694.0,1
33302,1,129,200.0,36,200.0,0
33303,1,115,250.0,30,250.0,0
33304,1,24,300.0,25,300.0,2
33305,1,327,210.0,25,210.0,2
33306,1,146,337.34,30,337.34,0
33307,1,133,750.0,41,750.0,1
33308,1,207,492.0,34,492.0,0
33309,1,327,555.0,31,555.0,1
33310,1,140,309.0,30,309.0,0
33311,1,140,421.0,21,421.0,2
33312,1,177,500.0,27,500.0,1
33313,1,137,60.0,29,60.0,2
33314,1,85,400.0,27,400.0,2
33315,1,97,50.0,27,50.0,2
33316,1,146,45.0,29,45.0,2
33317,1,268,220.0,37,220.0,0
33318,1,85,316.0,39,316.0,0
33319,1,131,1000.0,25,1000.0,1
33320,1,110,100.0,32,100.0,0
33321,1,206,154.0,31,154.0,0
33322,1,299,15.0,28,15.0,2
33323,1,126,300.66,38,300.66,0
33324,1,138,300.0,21,300.0,2
33325,1,114,10.0,24,10.0,2
33326,1,327,40.0,30,40.0,2
33327,1,299,630.0,38,630.0,1
33328,1,131,250.0,27,250.0,2
33329,1,268,500.0,29,500.0,1
33330,1,139,50.0,27,50.0,2
33331,1,133,676.0,30,676.0,1
33332,1,137,136.0,29,136.0,2
33333,1,328,39.0,27,39.0,2
33334,1,124,291.92,26,291.92,2
33335,1,145,300.0,29,300.0,2
33336,1,128,600.0,31,600.0,1
33337,1,85,445.0,35,445.0,0
33338,1,54,231.0,22,231.0,2
33339,1,127,500.0,34,500.0,0
33340,1,146,400.0,28,400.0,2
33341,1,125,50.0,29,50.0,2
33342,1,131,20.0,26,20.0,2
33343,1,128,40.0,28,40.0,2
33344,1,177,320.0,42,320.0,0
33345,1,237,657.0,35,657.0,1
33346,1,140,220.0,38,220.0,0
33347,1,327,600.0,26,600.0,1
33348,1,101,100.0,32,100.0,0
33349,1,101,292.0,24,292.0,2
33350,1,140,46.0,38,46.0,0
33351,1,146,890.0,40,890.0,1
33352,1,115,499.0,24,499.0,1
33353,1,177,484.41,36,484.41,0
33354,1,54,499.0,34,499.0,0
33355,1,207,259.0,28,259.0,2
33356,1,359,150.0,27,150.0,2
33357,1,328,354.0,20,354.0,2
33358,1,359,600.0,31,600.0,1
33359,1,126,990.0,26,990.0,1
33360,1,299,234.0,36,234.0,0
33361,1,177,28.0,25,28.0,2
33362,1,100,247.0,29,247.0,2
33363,1,139,393.0,34,393.0,0
33364,1,133,50.0,28,50.0,2
33365,1,146,100.0,27,100.0,2
33366,1,139,229.0,33,229.0,0
33367,1,133,50.0,28,50.0,2
33368,1,53,500.0,36,500.0,0
33369,1,23,148.0,29,148.0,2
33370,1,85,30.0,26,30.0,2
33371,1,138,600.0,33,600.0,1
33372,1,134,299.0,32,299.0,0
33373,1,126,535.0,24,535.0,1
33374,1,134,200.0,28,200.0,2
33375,1,131,440.0,25,440.0,2
33376,1,141,160.0,26,160.0,2
33377,1,53,116.0,31,116.0,0
33378,1,145,990.0,29,990.0,1
33379,1,115,399.0,29,399.0,0
33380,1,206,250.0,25,250.0,2
33381,1,128,50.0,24,50.0,2
